track_width [mm],Freq [GHz],"dB(S(2,1)) []",Loss / cm,
0.2185,26.875,-0.353986369,0.353986369,
0.2185,27,-0.355485355,0.355485355,
0.2185,27.125,-0.356991129,0.356991129,
0.2185,27.25,-0.358502394,0.358502394,
0.2185,27.375,-0.360017787,0.360017787,
0.2185,27.5,-0.361535882,0.361535882,
0.2185,27.625,-0.363055197,0.363055197,
0.2185,27.75,-0.364574197,0.364574197,
0.2185,27.875,-0.366091305,0.366091305,
0.2185,28,-0.367604903,0.367604903,
0.2185,28.125,-0.36911335,0.36911335,
0.2185,28.25,-0.370614981,0.370614981,
0.2185,28.375,-0.372108122,0.372108122,
0.2185,28.5,-0.373591099,0.373591099,
